2021-04-01 21:54:56,946 [AWT-EventQueue-0] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2021-04-01 21:54:56,946 [AWT-EventQueue-0] INFO  marytts.AcousticModeller Starting power-on self test.
2021-04-01 21:54:56,946 [AWT-EventQueue-0] INFO  marytts.AcousticModeller Power-on self test complete.
2021-04-01 21:54:56,946 [AWT-EventQueue-0] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2021-04-01 21:54:56,946 [AWT-EventQueue-0] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2021-04-01 21:54:56,956 [AWT-EventQueue-0] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2021-04-01 21:54:56,956 [AWT-EventQueue-0] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2021-04-01 21:54:56,956 [AWT-EventQueue-0] INFO  marytts.Realised durations extractor Starting power-on self test.
2021-04-01 21:54:56,956 [AWT-EventQueue-0] INFO  marytts.Realised durations extractor Power-on self test complete.
2021-04-01 21:54:56,957 [AWT-EventQueue-0] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2021-04-01 21:54:56,957 [AWT-EventQueue-0] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2021-04-01 21:54:56,957 [AWT-EventQueue-0] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2021-04-01 21:54:56,957 [AWT-EventQueue-0] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2021-04-01 21:54:56,981 [AWT-EventQueue-0] INFO  marytts.JTokeniser Starting power-on self test.
2021-04-01 21:54:56,981 [AWT-EventQueue-0] INFO  marytts.JTokeniser Power-on self test complete.
2021-04-01 21:54:56,981 [AWT-EventQueue-0] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2021-04-01 21:54:56,981 [AWT-EventQueue-0] INFO  marytts.Preprocess Starting power-on self test.
2021-04-01 21:54:56,981 [AWT-EventQueue-0] INFO  marytts.Preprocess Power-on self test complete.
2021-04-01 21:54:56,981 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2021-04-01 21:54:56,985 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Starting power-on self test.
2021-04-01 21:54:56,986 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Power-on self test complete.
2021-04-01 21:54:56,986 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2021-04-01 21:54:56,986 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Starting power-on self test.
2021-04-01 21:54:56,986 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Power-on self test complete.
2021-04-01 21:54:57,009 [AWT-EventQueue-0] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2021-04-01 21:54:57,009 [AWT-EventQueue-0] INFO  marytts.Prosody Starting power-on self test.
2021-04-01 21:54:57,009 [AWT-EventQueue-0] INFO  marytts.Prosody Power-on self test complete.
2021-04-01 21:54:57,009 [AWT-EventQueue-0] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2021-04-01 21:54:57,009 [AWT-EventQueue-0] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2021-04-01 21:54:57,014 [AWT-EventQueue-0] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2021-04-01 21:54:57,014 [AWT-EventQueue-0] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2021-04-01 21:54:57,014 [AWT-EventQueue-0] INFO  marytts.PronunciationModel Starting power-on self test.
2021-04-01 21:54:57,014 [AWT-EventQueue-0] INFO  marytts.PronunciationModel Power-on self test complete.
2021-04-01 21:54:57,014 [AWT-EventQueue-0] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2021-04-01 21:54:58,210 [AWT-EventQueue-0] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2021-04-01 21:54:58,210 [AWT-EventQueue-0] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2021-04-01 21:54:58,210 [AWT-EventQueue-0] INFO  marytts.main Startup complete.
2021-04-01 21:54:58,303 [AWT-EventQueue-0] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:60.0)", audio "WAVE")
2021-04-01 21:54:58,303 [AWT-EventQueue-0] INFO  marytts.R 1 Handling request using the following modules:
2021-04-01 21:54:58,303 [AWT-EventQueue-0] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
